subject_id,reject_subject,inputfile,outputfile,samplerate,reference_used_for_faster,faster_bad_channels,ica_preparation_bad_channels,length_ica_data,total_ICs,ICs_removed_by_adjust,ICs_removed_manually,total_epochs_before_artifact_rejection,total_epochs_after_artifact_rejection
10,0,10_N400.set,10_N400_ica_data.set,1024,Cz,1  16,0,460,28,3   6  13  15  16  20  22,none,0,0
11,0,11_N400.set,11_N400_ica_data.set,1024,Cz,8,0,404,29,1   3   6  24,none,0,0
12,0,12_N400.set,12_N400_ica_data.set,1024,Cz,29,0,389,29,3   9  12  14  15  17,none,0,0
13,0,13_N400.set,13_N400_ica_data.set,1024,Cz,1,0,413,29,1   8   9  11  12  16  18  19  24  25  26,none,0,0
14,0,14_N400.set,14_N400_ica_data.set,1024,Cz,1,0,403,29,1   4   6   8  20  25  27  29,none,0,0
15,0,15_N400.set,15_N400_ica_data.set,1024,Cz,0,0,400,30,1   9  10  12  14  15  16  18  20  25  27,none,0,0
16,0,16_N400.set,16_N400_ica_data.set,1024,Cz,9,0,679,29,2   3   4  13  16  18  26,none,0,0
17,0,17_N400.set,17_N400_ica_data.set,1024,Cz,16,0,425,29,1   3   6   7  13  14  15  18  19  21,none,0,0
18,0,18_N400.set,18_N400_ica_data.set,1024,Cz,1  16  24,0,445,27,9  17  18  20  22  24  27,none,0,0
19,0,19_N400.set,19_N400_ica_data.set,1024,Cz,0,0,408,30,2   7  10  13  21  22  29,none,0,0
1,0,1_N400.set,1_N400_ica_data.set,1024,Cz,1,0,562,29,2   3   4   7   8  10  11  16  23,none,0,0
20,0,20_N400.set,20_N400_ica_data.set,1024,Cz,1,0,413,29,1   4   5   9  15  16  18  19  20  22  24,none,0,0
21,0,21_N400.set,21_N400_ica_data.set,1024,Cz,1  16,0,429,28,3   7  24,none,0,0
22,0,22_N400.set,22_N400_ica_data.set,1024,Cz,10,0,418,29,2   4   9  11  12  16  19,none,0,0
23,0,23_N400.set,23_N400_ica_data.set,1024,Cz,26,0,399,29,1   9  12  20  23  26  29,none,0,0
24,0,24_N400.set,24_N400_ica_data.set,1024,Cz,16,0,405,29,1  9,none,0,0
25,0,25_N400.set,25_N400_ica_data.set,1024,Cz,0,0,424,30,1   7   8  12  19  22  25  27  29,none,0,0
26,0,26_N400.set,26_N400_ica_data.set,1024,Cz,19,0,410,29,1   5   8  13  14  16  19,none,0,0
27,0,27_N400.set,27_N400_ica_data.set,1024,Cz,1,0,409,29,1   9  10  11,none,0,0
28,0,28_N400.set,28_N400_ica_data.set,1024,Cz,1  16,0,397,28,3  16  20  27,none,0,0
29,0,29_N400.set,29_N400_ica_data.set,1024,Cz,24  27,0,448,28,1   2   7  17,none,0,0
2,0,2_N400.set,2_N400_ica_data.set,1024,Cz,1,0,498,29,2   9  19,none,0,0
30,0,30_N400.set,30_N400_ica_data.set,1024,Cz,0,0,417,30,2   4   6   9  13  15  18  19  20  24  26  29,none,0,0
31,0,31_N400.set,31_N400_ica_data.set,1024,Cz,16,0,404,29,1   3  10  11  12  22,none,0,0
32,0,32_N400.set,32_N400_ica_data.set,1024,Cz,1  16,0,422,28,1   6  19  21  23  25  28,none,0,0
33,0,33_N400.set,33_N400_ica_data.set,1024,Cz,16,0,396,29,2  10  11  15  16  17  19  20  22  27,none,0,0
34,0,34_N400.set,34_N400_ica_data.set,1024,Cz,20,0,420,29,2  13  18  19  23  25,none,0,0
35,0,35_N400.set,35_N400_ica_data.set,1024,Cz,3,0,408,29,1   5   6   9  11  13  15  18  20  21  23  26  27,none,0,0
36,0,36_N400.set,36_N400_ica_data.set,1024,Cz,1  16,0,391,28,6  9,none,0,0
37,0,37_N400.set,37_N400_ica_data.set,1024,Cz,16,0,426,29,1  10  13  18  21,none,0,0
38,0,38_N400.set,38_N400_ica_data.set,1024,Cz,10,0,530,29,1   5   6  13,none,0,0
39,0,39_N400.set,39_N400_ica_data.set,1024,Cz,13,0,506,29,2   5   7   8  10  12  14  15  17  18  20  27,none,0,0
3,0,3_N400.set,3_N400_ica_data.set,1024,Cz,1  16,0,417,28,5  10  11  17  20  21  24  27,none,0,0
40,0,40_N400.set,40_N400_ica_data.set,1024,Cz,15,0,492,29,1   4   8  10,none,0,0
4,0,4_N400.set,4_N400_ica_data.set,1024,Cz,2  19,0,593,28,1   2   7  17,none,0,0
5,0,5_N400.set,5_N400_ica_data.set,1024,Cz,1  16,0,425,28,8  12  16  18,none,0,0
6,0,6_N400.set,6_N400_ica_data.set,1024,Cz,16,0,395,29,1  15  28,none,0,0
7,0,7_N400.set,7_N400_ica_data.set,1024,Cz,1  16,0,400,28,3  12  15  17,none,0,0
8,0,8_N400.set,8_N400_ica_data.set,1024,Cz,1,0,466,29,1  11  13  20,none,0,0
9,0,9_N400.set,9_N400_ica_data.set,1024,Cz,0,0,386,30,1   2   7  11  16  19  23  27,none,0,0
