BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,1,1,PEPPERONI,PIZZA,Related,1055,1586,111,211,201,957.1,rm_hit
Main,1,2,LOW,HIGH,Related,1079,1493,111,211,201,923.5,rm_hit
Main,1,3,DUSK,HEADACHE,Unrelated,997,1457,121,221,201,1120.4,rm_hit
Main,1,4,DIAMOND,RIGHT,Unrelated,1055,1478,121,221,201,980.9,rm_hit
Main,1,5,PERSPIRE,SWEAT,Related,951,1575,111,211,201,988.4,rm_hit
Main,1,6,SCENT,GROOM,Unrelated,913,1590,121,221,201,1193.3,rm_hit
Main,1,7,CLIMBER,CLOTHES,Unrelated,1079,1489,121,221,201,1071,rm_hit
Main,1,8,DENIM,JEANS,Related,926,1490,111,211,201,1094.7,rm_hit
Main,1,9,QUIZ,TEST,Related,936,1453,111,211,201,582.2,rm_hit
Main,1,10,CLEVER,EAR,Unrelated,1005,1461,121,221,201,805.3,rm_hit
Main,1,11,BEGINNING,END,Related,999,1527,111,211,201,779.5,rm_hit
Main,1,12,BEFORE,AFTER,Related,932,1559,111,211,201,545.8,rm_hit
Main,1,13,BAIT,LATE,Unrelated,1045,1593,121,221,201,786.1,rm_hit
Main,1,14,DEPART,CRACKER,Unrelated,1008,1498,121,221,201,1130.5,rm_hit
Main,1,15,TABLE,CHAIR,Related,1038,1536,111,211,201,718.2,rm_hit
Main,1,16,EVEN,CANDLE,Unrelated,1009,1563,121,221,201,721.1,rm_hit
Main,1,17,OAK,TREE,Related,951,1532,111,211,201,677.5,rm_hit
Main,1,18,TROUSERS,PANTS,Related,1066,1594,111,211,201,1054.4,rm_hit
Main,1,19,PAIL,DOWN,Unrelated,1056,1569,121,221,201,860.8,rm_hit
Main,1,20,SLIP,NO,Unrelated,1070,1575,121,221,201,836.5,rm_hit
Main,1,21,COB,CORN,Related,1059,1485,111,211,201,733.1,rm_hit
Main,1,22,HILARIOUS,FUNNY,Related,1077,1522,111,211,201,703.3,rm_hit
Main,1,23,HALT,STOP,Related,967,1448,111,211,201,572.3,rm_hit
Main,1,24,WRENCH,BABY,Unrelated,991,1483,121,221,201,707.3,rm_hit
Main,1,25,DESPISE,HATE,Related,928,1447,111,211,201,995.5,rm_hit
Main,1,26,MEN,MONEY,Unrelated,1005,1493,121,221,201,994.5,rm_hit
Main,1,27,AUNT,UNCLE,Related,1034,1505,111,211,201,926.1,rm_hit
Main,1,28,SOBER,EGG,Unrelated,1074,1431,121,221,201,743.2,rm_hit
Main,1,29,BRAWL,FIGHT,Related,958,1523,111,211,201,712.1,rm_hit
Main,1,30,RODENT,BONE,Unrelated,919,1580,121,221,201,703.1,rm_hit
Main,1,31,STONE,WIFE,Unrelated,1068,1427,121,221,201,1118.1,rm_hit
Main,1,32,CHEDDAR,CHEESE,Related,1019,1466,111,211,201,701.1,rm_hit
Main,1,33,DILEMMA,THIRST,Unrelated,973,1534,121,221,201,828.1,rm_hit
Main,1,34,DILL,PICKLE,Related,934,1437,111,211,201,674.3,rm_hit
Main,1,35,BOUQUET,FLOWERS,Related,1098,1508,111,211,201,765.9,rm_hit
Main,1,36,CHAPTER,LIE,Unrelated,1086,1595,121,221,201,919,rm_hit
Main,1,37,OFF,ON,Related,924,1496,111,211,201,434.6,rm_hit
Main,1,38,BREEZE,SLEEP,Unrelated,1053,1491,121,221,201,821.5,rm_hit
Main,1,39,JIGSAW,PUZZLE,Related,1050,1566,111,211,201,560.6,rm_hit
Main,1,40,NOVEL,NAIL,Unrelated,1002,1421,121,221,201,922.9,rm_hit
Main,1,41,QUACK,DUCK,Related,946,1532,111,211,201,490.4,rm_hit
Main,1,42,WEARY,STAY,Unrelated,952,1532,121,221,201,984,rm_hit
Main,1,43,TOSS,UNDERSTAND,Unrelated,1096,1502,121,221,201,863.7,rm_hit
Main,1,44,EXHAUSTED,TIRED,Related,1091,1456,111,211,201,1384.7,rm_hit
Main,1,45,JOG,RUN,Related,1053,1597,111,211,201,805,rm_hit
Main,1,46,TUNA,FISH,Related,925,1429,111,211,201,640.6,rm_hit
Main,1,47,CONSTRUCT,DOLPHIN,Unrelated,1062,1451,121,221,201,725.6,rm_hit
Main,1,48,PLANET,MOVIE,Unrelated,1059,1480,121,221,201,705.9,rm_hit
Main,1,49,SKETCH,DRAW,Related,1057,1551,111,211,201,596.9,rm_hit
Main,1,50,FOLLOW,PUSH,Unrelated,923,1447,121,221,201,1202.5,rm_hit
Main,1,51,ROAR,SISTER,Unrelated,1007,1421,121,221,201,752.8,rm_hit
Main,1,52,SPLASH,HER,Unrelated,1054,1485,121,221,201,967.1,rm_hit
Main,1,53,RAYS,BUTTER,Unrelated,991,1429,121,221,201,1132.7,rm_hit
Main,1,54,CUP,OUT,Unrelated,981,1520,121,221,201,1341.1,rm_hit
Main,1,55,KITTEN,CAT,Related,1007,1535,111,211,201,792.7,rm_hit
Main,1,56,TOAD,FROG,Related,975,1494,111,211,201,661,rm_hit
Main,1,57,LARGE,BOOK,Unrelated,917,1472,121,221,201,669.4,rm_hit
Main,1,58,PHYSICIAN,DOCTOR,Related,927,1463,111,211,201,733.6,rm_hit
Main,1,59,FLUNK,DAD,Unrelated,1014,1584,121,221,201,827.2,rm_hit
Main,1,60,HE,SHE,Related,929,1573,111,211,201,1111.5,rm_hit
Main,2,61,DAGGER,JEANS,Unrelated,920,1573,122,222,201,721.1,rm_hit
Main,2,62,FROSTING,PIZZA,Unrelated,925,1560,122,222,201,1053.4,rm_hit
Main,2,63,WICK,CANDLE,Related,982,1513,112,212,201,736.4,rm_hit
Main,2,64,HAPPY,CORN,Unrelated,1034,1470,122,222,201,667.3,rm_hit
Main,2,65,SOCK,FLOWERS,Unrelated,1078,1401,122,222,201,718.5,rm_hit
Main,2,66,WALLET,STOP,Unrelated,905,1501,122,222,201,787.2,rm_hit
Main,2,67,LIBRARY,BOOK,Related,909,1549,112,212,201,931.6,rm_hit
Main,2,68,GLANCE,END,Unrelated,1030,1524,122,222,201,981.2,rm_hit
Main,2,69,CROCODILE,ON,Unrelated,979,1459,122,222,201,785.5,rm_hit
Main,2,70,HINGE,CHEESE,Unrelated,992,1540,122,222,201,1031.8,rm_hit
Main,2,71,CINEMA,MOVIE,Related,1023,1400,112,212,201,1025.5,rm_hit
Main,2,72,PROFIT,UNCLE,Unrelated,1070,1556,122,222,201,695.7,rm_hit
Main,2,73,HUSBAND,WIFE,Related,1052,1426,112,212,201,648.1,rm_hit
Main,2,74,FLIPPER,DOLPHIN,Related,1064,1525,112,212,201,677.1,rm_hit
Main,2,75,MOM,DAD,Related,1099,1442,112,212,201,692.7,rm_hit
Main,2,76,BRIDE,GROOM,Related,943,1494,112,212,201,693.7,rm_hit
Main,2,77,BROTHER,SISTER,Related,955,1529,112,212,201,628.7,rm_hit
Main,2,78,CASH,MONEY,Related,1034,1499,112,212,201,471,rm_hit
Main,2,79,HONK,PUZZLE,Unrelated,1003,1563,122,222,201,636,rm_hit
Main,2,80,PEANUT,RUN,Unrelated,909,1533,122,222,201,865.6,rm_hit
Main,2,81,SALTINE,CRACKER,Related,926,1597,112,212,201,587,rm_hit
Main,2,82,SHINGLE,CHAIR,Unrelated,957,1499,122,222,201,661.4,rm_hit
Main,2,83,MARROW,BONE,Related,911,1531,112,212,201,621.6,rm_hit
Main,2,84,CRIB,BABY,Related,917,1468,112,212,201,620.6,rm_hit
Main,2,85,COMPREHEND,UNDERSTAND,Related,1073,1428,112,212,201,1079.6,rm_hit
Main,2,86,BOX,PANTS,Unrelated,1026,1466,122,222,201,781.9,rm_hit
Main,2,87,MARGARINE,BUTTER,Related,1094,1420,112,212,201,496.2,rm_hit
Main,2,88,CRACKLE,TREE,Unrelated,1090,1477,122,222,201,836.4,rm_hit
Main,2,89,BEETLE,FROG,Unrelated,1077,1448,122,222,201,934.9,rm_hit
Main,2,90,UP,DOWN,Related,935,1517,112,212,201,648.4,rm_hit
Main,2,91,SWIFT,TEST,Unrelated,1095,1481,122,222,201,696.8,rm_hit
Main,2,92,TARDY,LATE,Related,953,1553,112,212,201,688.4,rm_hit
Main,2,93,YOLK,EGG,Related,1038,1524,112,212,201,546.1,rm_hit
Main,2,94,WARDROBE,CLOTHES,Related,1095,1562,112,212,201,689.8,rm_hit
Main,2,95,ANATOMY,HATE,Unrelated,981,1598,122,222,201,756.8,rm_hit
Main,2,96,SOBER,FUNNY,Unrelated,918,1558,122,222,201,673,rm_hit
Main,2,97,DESIRE,DOCTOR,Unrelated,946,1498,122,222,201,765.5,rm_hit
Main,2,98,LEFT,RIGHT,Related,924,1541,112,212,201,413.1,rm_hit
Main,2,99,SHOVE,PUSH,Related,965,1523,112,212,201,865.3,rm_hit
Main,2,100,PARROT,DRAW,Unrelated,984,1415,122,222,201,741.6,rm_hit
Main,2,101,EMPLOYMENT,CAT,Unrelated,949,1574,122,222,201,706.4,rm_hit
Main,2,102,UNSOLVED,AFTER,Unrelated,1034,1400,122,222,201,730.8,rm_hit
Main,2,103,YES,NO,Related,1042,1439,112,212,201,345.7,rm_hit
Main,2,104,ESCARGOT,TIRED,Unrelated,971,1488,122,222,201,762.2,rm_hit
Main,2,105,REMAIN,STAY,Related,1087,1408,112,212,202,956.3,rm_incorrect
Main,2,106,QUIVER,DUCK,Unrelated,1023,1586,122,222,201,1715.3,rm_hit
Main,2,107,MIGRAINE,HEADACHE,Related,1016,1429,112,212,201,1116.3,rm_hit
Main,2,108,QUENCH,THIRST,Related,1026,1502,112,212,201,1394.7,rm_hit
Main,2,109,BROOM,SWEAT,Unrelated,978,1497,122,222,201,1296.2,rm_hit
Main,2,110,PRIM,HIGH,Unrelated,989,1411,122,222,NaN,-417669.8,rm_miss
Main,2,111,NAP,SLEEP,Related,912,1507,112,212,201,801.5,rm_hit
Main,2,112,IN,OUT,Related,909,1437,112,212,201,657.1,rm_hit
Main,2,113,HAMMER,NAIL,Related,1066,1412,112,212,201,990.1,rm_hit
Main,2,114,HIM,HER,Related,1061,1573,112,212,201,467.7,rm_hit
Main,2,115,LOBE,EAR,Related,1022,1420,112,212,201,964.8,rm_hit
Main,2,116,FIB,LIE,Related,1036,1400,112,212,201,619.6,rm_hit
Main,2,117,IMMEDIATE,FIGHT,Unrelated,1062,1594,122,222,201,1106,rm_hit
Main,2,118,DIME,PICKLE,Unrelated,928,1441,122,222,201,813.6,rm_hit
Main,2,119,STING,SHE,Unrelated,1068,1453,122,222,201,937.9,rm_hit
Main,2,120,ONCE,FISH,Unrelated,1064,1490,122,222,201,774.2,rm_hit
