id,stimUnrelCorrSpecCompTimeAvgChansAvg,stimRelCorrSpecCompTimeAvgChansAvg,amplitudesUnrelMinusRel
1,0.232669616330074,0.456386201039079,-0.223716584709005
2,1.25538057453387,4.31117479768144,-3.05579422314756
3,-0.684639148372995,1.46381591086924,-2.14845505924223
4,1.98229873035674,4.00550834720721,-2.02320961685048
5,-0.344500352173429,0.402273646632036,-0.746773998805465
6,0.501652851903666,1.16964863677568,-0.667995784872011
7,0.114541301188633,2.19017242946345,-2.07563112827482
8,-2.24943696491894,-1.13601480483421,-1.11342216008473
9,0.555697067739721,0.986717837181,-0.431020769441279
10,4.40293302558783,2.66191232960736,1.74102069598046
11,-0.920824476568073,0.0227760091067594,-0.943600485674833
12,-0.341958731653323,2.14391414400161,-2.48587287565493
13,1.27751137344737,2.32211559942432,-1.04460422597695
14,1.65402831698185,3.42457344608327,-1.77054512910143
15,1.10397270378885,3.61868075797525,-2.5147080541864
16,2.1481912780804,4.50015454266474,-2.35196326458434
17,-0.839837276725684,0.918754107913822,-1.75859138463951
18,-3.66127445941869,-0.609724089281844,-3.05155037013685
19,-0.0612999130355332,0.867943984733983,-0.929243897769517
20,-1.68591470456175,-0.0720041934466518,-1.6139105111151
21,-2.15264788496156,-1.52768796510832,-0.62495991985324
22,-2.05707546475702,-0.807904285581763,-1.24917117917526
23,-0.151708843466288,2.37181722653618,-2.52352607000246
24,-0.750449244713156,0.485447975992643,-1.2358972207058
25,-4.04337238559611,-1.46323850306354,-2.58013388253257
26,-0.788507032317365,0.253268966585782,-1.04177599890315
27,-2.15867296246504,0.0674816272316376,-2.22615458969668
28,-0.474737548675223,-1.21844292362842,0.743705374953195
29,-2.61107103574857,-1.34009219229824,-1.27097884345032
30,1.37449132481548,1.34189331772162,0.0325980070938616
31,-1.02614906724456,-0.162133553645529,-0.864015513599029
32,-2.21356316312886,1.06795517149867,-3.28151833462753
33,-0.355764540080722,0.93597523494034,-1.29173977502106
34,-1.83704656907351,-0.398045538950525,-1.43900103012298
35,-1.41086737498214,1.94507858398562,-3.35594595896776
36,-4.73054431838994,-3.84324609246507,-0.887298225924869
37,-0.780793228633828,0.481147750952483,-1.26194097958631
38,-0.953775041599229,-0.408191745428846,-0.545583296170383
39,-0.970896958943835,0.901636764818623,-1.87253372376246
